question_order,row_id,annotator,status,raw,legal_llmlingua2-r1p1,oracle_bgb_paragraph_ids,no_context,original_labels,original_positions,original_rank_groups,notes,reference_issue,material_difference,cannot_assess
37,domainllm:validation:000488:205461f2c99d,annotator_2,ranked,4.0,3.0,2.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 2, ""B"": 3, ""C"": 1, ""D"": 4}","[[""C""], [""A""], [""B""], [""D""]]",,False,,False
38,domainllm:validation:000283:776fa0c3eb13,annotator_1,ranked,3.0,3.0,3.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 2, ""B"": 2, ""C"": 1, ""D"": 2}","[[""C""], [""A"", ""B"", ""D""]]",Alle Antworten sind extrem schlecht,False,,False
38,domainllm:validation:000283:776fa0c3eb13,annotator_2,ranked,1.5,1.5,4.0,3.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 1, ""C"": 1, ""D"": 3}","[[""B"", ""C""], [""A""], [""D""]]",,False,,False
39,domainllm:validation:000071:63e60d47088e,annotator_1,ranked,1.5,1.5,4.0,3.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 3}","[[""A"", ""B""], [""C""], [""D""]]",Alle Antworten falsch,False,,False
39,domainllm:validation:000071:63e60d47088e,annotator_2,ranked,2.0,1.0,4.0,3.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 3, ""C"": 4, ""D"": 1}","[[""D""], [""A""], [""B""], [""C""]]",,False,,False
40,domainllm:validation:000198:d72de556be04,annotator_1,ranked,2.0,4.0,1.0,3.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 4, ""C"": 3, ""D"": 1}","[[""D""], [""A""], [""C""], [""B""]]",,False,,False
40,domainllm:validation:000198:d72de556be04,annotator_2,ranked,1.5,4.0,1.5,3.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 3, ""C"": 2, ""D"": 1}","[[""A"", ""D""], [""C""], [""B""]]",,False,,False
41,domainllm:validation:000044:3a898c32108f,annotator_1,ranked,2.0,1.0,4.0,3.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 4}","[[""B""], [""C""], [""A""], [""D""]]",,False,,False
41,domainllm:validation:000044:3a898c32108f,annotator_2,ranked,2.0,1.0,3.5,3.5,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 3, ""C"": 3, ""D"": 1}","[[""D""], [""A""], [""B"", ""C""]]",,False,,False
42,domainllm:validation:000224:134fa0530fa8,annotator_1,ranked,1.0,4.0,2.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 2, ""B"": 1, ""C"": 4, ""D"": 3}","[[""B""], [""A""], [""D""], [""C""]]",,False,,False
42,domainllm:validation:000224:134fa0530fa8,annotator_2,ranked,1.0,3.0,3.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 2, ""B"": 2, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""B"", ""C""]]",,False,,False
43,domainllm:validation:000231:264204166596,annotator_1,ranked,2.0,1.0,3.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
43,domainllm:validation:000231:264204166596,annotator_2,ranked,2.5,2.5,1.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 1, ""B"": 2, ""C"": 2, ""D"": 3}","[[""A""], [""B"", ""C""], [""D""]]",,False,,False
44,domainllm:validation:000427:339c6f8a53ed,annotator_1,ranked,1.0,2.0,3.0,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
44,domainllm:validation:000427:339c6f8a53ed,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 1, ""C"": 3, ""D"": 2}","[[""A"", ""B""], [""D""], [""C""]]",,False,,False
45,domainllm:validation:000208:9e24f55e9ac9,annotator_1,ranked,2.0,4.0,3.0,1.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
45,domainllm:validation:000208:9e24f55e9ac9,annotator_2,ranked,3.5,3.5,2.0,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 3, ""B"": 1, ""C"": 3, ""D"": 2}","[[""B""], [""D""], [""A"", ""C""]]",,False,,False
46,domainllm:validation:000257:c297fea3d8da,annotator_1,ranked,2.0,1.0,3.0,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 1, ""C"": 4, ""D"": 3}","[[""B""], [""A""], [""D""], [""C""]]",,False,,False
46,domainllm:validation:000257:c297fea3d8da,annotator_2,ranked,2.5,1.0,2.5,4.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 2, ""C"": 3, ""D"": 1}","[[""D""], [""A"", ""B""], [""C""]]",,False,,False
47,domainllm:validation:000487:8860a359e1f3,annotator_1,ranked,2.0,3.0,1.0,4.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 4, ""B"": 2, ""C"": 3, ""D"": 1}","[[""D""], [""B""], [""C""], [""A""]]",,False,,False
47,domainllm:validation:000487:8860a359e1f3,annotator_2,ranked,1.0,2.0,3.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 4}","[[""B""], [""C""], [""A""], [""D""]]",,False,,False
48,domainllm:validation:000042:1d9276803a03,annotator_1,ranked,3.0,4.0,2.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 2, ""B"": 3, ""C"": 4, ""D"": 1}","[[""D""], [""A""], [""B""], [""C""]]",,False,,False
48,domainllm:validation:000042:1d9276803a03,annotator_2,ranked,3.0,4.0,2.0,1.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 3, ""B"": 4, ""C"": 1, ""D"": 2}","[[""C""], [""D""], [""A""], [""B""]]",,False,,False
49,domainllm:validation:000358:a4c3f7888129,annotator_1,ranked,4.0,2.0,1.0,3.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 3, ""C"": 4, ""D"": 1}","[[""D""], [""A""], [""B""], [""C""]]",,False,,False
49,domainllm:validation:000358:a4c3f7888129,annotator_2,ranked,2.5,1.0,2.5,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 3, ""C"": 2, ""D"": 1}","[[""D""], [""A"", ""C""], [""B""]]",,False,,False
50,domainllm:validation:000446:c7744233dbc5,annotator_1,ranked,1.0,2.0,4.0,3.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 3, ""B"": 2, ""C"": 4, ""D"": 1}","[[""D""], [""B""], [""A""], [""C""]]",,False,,False
50,domainllm:validation:000446:c7744233dbc5,annotator_2,ranked,2.0,1.0,3.5,3.5,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 3, ""B"": 3, ""C"": 1, ""D"": 2}","[[""C""], [""D""], [""A"", ""B""]]",,False,,False
51,domainllm:validation:000240:604e5934736a,annotator_1,ranked,1.0,2.0,3.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""no_context""}","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 4}","[[""C""], [""B""], [""A""], [""D""]]",Alle Antworten grob falsch,False,,False
51,domainllm:validation:000240:604e5934736a,annotator_2,ranked,1.0,3.5,3.5,2.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 2, ""B"": 3, ""C"": 3, ""D"": 1}","[[""D""], [""A""], [""B"", ""C""]]",,False,,False
52,domainllm:validation:000341:0eaa7d1404c9,annotator_1,ranked,1.0,2.0,4.0,3.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 3, ""C"": 2, ""D"": 4}","[[""A""], [""C""], [""B""], [""D""]]",,False,,False
52,domainllm:validation:000341:0eaa7d1404c9,annotator_2,ranked,2.0,1.0,4.0,3.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 3, ""C"": 1, ""D"": 4}","[[""C""], [""A""], [""B""], [""D""]]",,False,,False
53,domainllm:validation:000357:a0779250f399,annotator_1,ranked,3.0,4.0,1.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
53,domainllm:validation:000357:a0779250f399,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 1, ""C"": 3, ""D"": 2}","[[""A"", ""B""], [""D""], [""C""]]",,False,,False
54,domainllm:validation:000248:73a243be3f74,annotator_1,ranked,3.5,2.0,1.0,3.5,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 1, ""B"": 3, ""C"": 2, ""D"": 3}","[[""A""], [""C""], [""B"", ""D""]]",,False,,False
54,domainllm:validation:000248:73a243be3f74,annotator_2,ranked,1.5,3.0,1.5,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 3}","[[""A"", ""B""], [""C""], [""D""]]",,False,,False
55,domainllm:validation:000385:f89ec3b33538,annotator_1,ranked,2.0,3.5,1.0,3.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 3, ""B"": 1, ""C"": 3, ""D"": 2}","[[""B""], [""D""], [""A"", ""C""]]",,False,,False
55,domainllm:validation:000385:f89ec3b33538,annotator_2,ranked,1.5,3.0,1.5,4.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 1}","[[""B"", ""D""], [""C""], [""A""]]",,False,,False
56,domainllm:validation:000324:d5d9dd4c54bb,annotator_1,ranked,1.0,4.0,2.0,3.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 4}","[[""B""], [""C""], [""A""], [""D""]]",,False,,False
56,domainllm:validation:000324:d5d9dd4c54bb,annotator_2,ranked,3.0,1.0,3.0,3.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 2, ""C"": 2, ""D"": 2}","[[""A""], [""B"", ""C"", ""D""]]",,False,,False
57,domainllm:validation:000278:c3f6acdfc806,annotator_1,ranked,4.0,3.0,1.0,2.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 4}","[[""B""], [""C""], [""A""], [""D""]]",,False,,False
57,domainllm:validation:000278:c3f6acdfc806,annotator_2,ranked,1.5,4.0,1.5,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 3}","[[""A"", ""B""], [""C""], [""D""]]",,False,,False
58,domainllm:validation:000310:4a65a7085f39,annotator_1,ranked,4.0,1.0,2.0,3.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 3, ""C"": 2, ""D"": 4}","[[""A""], [""C""], [""B""], [""D""]]",,False,,False
58,domainllm:validation:000310:4a65a7085f39,annotator_2,ranked,3.0,1.0,2.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 3}","[[""A""], [""C""], [""D""], [""B""]]",,False,,False
59,domainllm:validation:000158:489f732b3dd5,annotator_1,ranked,3.0,2.0,4.0,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 4}","[[""B""], [""A""], [""C""], [""D""]]",,False,,False
59,domainllm:validation:000158:489f732b3dd5,annotator_2,ranked,3.0,2.0,4.0,1.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 3, ""C"": 4, ""D"": 2}","[[""A""], [""D""], [""B""], [""C""]]",,False,,False
60,domainllm:validation:000217:61632a5d6238,annotator_1,ranked,3.0,2.0,4.0,1.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 3, ""B"": 2, ""C"": 4, ""D"": 1}","[[""D""], [""B""], [""A""], [""C""]]",,False,,False
60,domainllm:validation:000217:61632a5d6238,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 1, ""C"": 3, ""D"": 2}","[[""A"", ""B""], [""D""], [""C""]]",,False,,False
61,domainllm:validation:000186:cd886235c003,annotator_1,ranked,4.0,3.0,1.0,2.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 4}","[[""B""], [""C""], [""A""], [""D""]]",,False,,False
61,domainllm:validation:000186:cd886235c003,annotator_2,ranked,1.0,2.0,3.0,4.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 4, ""C"": 2, ""D"": 3}","[[""A""], [""C""], [""D""], [""B""]]",,False,,False
62,domainllm:validation:000471:8b0d0960ffc1,annotator_1,ranked,1.0,2.0,3.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 3, ""B"": 2, ""C"": 4, ""D"": 1}","[[""D""], [""B""], [""A""], [""C""]]",,False,,False
62,domainllm:validation:000471:8b0d0960ffc1,annotator_2,ranked,3.0,1.5,1.5,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 3, ""C"": 1, ""D"": 2}","[[""A"", ""C""], [""D""], [""B""]]",,False,,False
63,domainllm:validation:000450:b21358a3b326,annotator_1,ranked,4.0,1.0,2.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""no_context""}","{""A"": 2, ""B"": 1, ""C"": 4, ""D"": 3}","[[""B""], [""A""], [""D""], [""C""]]",,False,,False
63,domainllm:validation:000450:b21358a3b326,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 3}","[[""A"", ""B""], [""C""], [""D""]]",,False,,False
64,domainllm:validation:000147:491976650e67,annotator_1,ranked,4.0,3.0,2.0,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 3, ""B"": 4, ""C"": 2, ""D"": 1}","[[""D""], [""C""], [""A""], [""B""]]",,False,,False
64,domainllm:validation:000147:491976650e67,annotator_2,ranked,3.5,3.5,1.0,2.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 3}","[[""C""], [""B""], [""A"", ""D""]]",,False,,False
65,domainllm:validation:000055:c3ca71a40eaa,annotator_1,ranked,2.5,2.5,2.5,2.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",Alle Antworten gut,False,,False
65,domainllm:validation:000055:c3ca71a40eaa,annotator_2,ranked,2.5,2.5,4.0,1.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 1, ""C"": 2, ""D"": 3}","[[""B""], [""A"", ""C""], [""D""]]",,False,,False
66,domainllm:validation:000463:897e62f0026a,annotator_1,ungradable,,,,,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": null, ""B"": null, ""C"": null, ""D"": null}",null,Der Sachverhalt ist unverständlich,False,,True
66,domainllm:validation:000463:897e62f0026a,annotator_2,ranked,2.5,2.5,2.5,2.5,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 1}","[[""A"", ""B"", ""C"", ""D""]]",,False,,False
67,domainllm:validation:000468:50953fb88874,annotator_1,ranked,3.0,2.0,1.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 3, ""C"": 4, ""D"": 1}","[[""D""], [""A""], [""B""], [""C""]]",,False,,False
67,domainllm:validation:000468:50953fb88874,annotator_2,ranked,2.0,2.0,2.0,4.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 1, ""D"": 2}","[[""A"", ""B"", ""C""], [""D""]]",,False,,False
68,domainllm:validation:000112:dd61ae7b3c8b,annotator_1,ranked,2.0,4.0,3.0,1.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 4}","[[""B""], [""A""], [""C""], [""D""]]","Die Mietminderung tritt meines Erachtens ex lege ein und muss nicht erst erklärt werden, deswegen sollte sie auch rückwirkend geltend gemacht werden können, sofern der Mangel dem Vermieter bekannt war.",True,,False
68,domainllm:validation:000112:dd61ae7b3c8b,annotator_2,ungradable,,,,,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": null, ""B"": null, ""C"": null, ""D"": null}",null,"Referenzantwort m.E. falsch. Mietminderung ist rückwirkend möglich ab Anzeige des Mangels. Was 320 damit zu tun hat, erschließt sich mir nicht.",True,,True
69,domainllm:validation:000211:6bd5a29c7624,annotator_1,ranked,2.0,3.0,4.0,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""raw""}","{""A"": 3, ""B"": 4, ""C"": 1, ""D"": 2}","[[""C""], [""D""], [""A""], [""B""]]","Keine der Antworten versteht, dass es hier um den gutgläubigen Erwerb durch einen Dritten von der Autowerkstatt geht, nicht um das Verhältnis zwischen dem Fragesteller und der Werkstatt",False,,False
69,domainllm:validation:000211:6bd5a29c7624,annotator_2,ranked,2.0,1.0,3.5,3.5,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 3}","[[""B""], [""A""], [""C"", ""D""]]",,False,,False
70,domainllm:validation:000222:4be5d2eb7542,annotator_1,ranked,4.0,2.0,3.0,1.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 3, ""B"": 4, ""C"": 2, ""D"": 1}","[[""D""], [""C""], [""A""], [""B""]]",,False,,False
70,domainllm:validation:000222:4be5d2eb7542,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""raw"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 3, ""C"": 2, ""D"": 1}","[[""A"", ""D""], [""C""], [""B""]]",,False,,False
71,domainllm:validation:000340:46dccc7db079,annotator_1,ranked,1.5,1.5,3.5,3.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 2}","[[""A"", ""B""], [""C"", ""D""]]",,False,,False
71,domainllm:validation:000340:46dccc7db079,annotator_2,ranked,1.0,2.0,4.0,3.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 4, ""B"": 3, ""C"": 2, ""D"": 1}","[[""D""], [""C""], [""B""], [""A""]]",,False,,False
72,domainllm:validation:000088:9057bab63a68,annotator_1,ranked,2.0,1.0,3.0,4.0,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 4, ""B"": 3, ""C"": 1, ""D"": 2}","[[""C""], [""D""], [""B""], [""A""]]",,False,,False
72,domainllm:validation:000088:9057bab63a68,annotator_2,ranked,2.0,1.0,3.5,3.5,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 1, ""B"": 3, ""C"": 3, ""D"": 2}","[[""A""], [""D""], [""B"", ""C""]]",,False,,False
73,domainllm:validation:000290:ee689dc82545,annotator_1,ranked,1.0,3.5,3.5,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 3, ""B"": 1, ""C"": 3, ""D"": 2}","[[""B""], [""D""], [""A"", ""C""]]",,False,,False
73,domainllm:validation:000290:ee689dc82545,annotator_2,ranked,1.0,3.0,4.0,2.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""no_context""}","{""A"": 1, ""B"": 4, ""C"": 3, ""D"": 2}","[[""A""], [""D""], [""C""], [""B""]]",,False,,False
74,domainllm:validation:000008:39e009c2027e,annotator_1,ranked,3.5,3.5,1.5,1.5,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 2}","[[""A"", ""B""], [""C"", ""D""]]",Alle Antworten komplett falsch,False,,False
74,domainllm:validation:000008:39e009c2027e,annotator_2,ranked,1.5,1.5,3.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 1, ""C"": 2, ""D"": 3}","[[""A"", ""B""], [""C""], [""D""]]",,False,,False
